Date,Price
11/07/1994,383.3
11/04/1994,384.7
11/03/1994,384.4
11/02/1994,385.5
11/01/1994,385.7
10/31/1994,384.9
10/28/1994,388.7
10/27/1994,390.2
10/26/1994,391
10/25/1994,391.2
10/24/1994,391.4
10/21/1994,392.8
10/20/1994,393.3
10/19/1994,392.3
10/18/1994,391.3
10/17/1994,392.1
10/14/1994,390
10/13/1994,388.6
10/12/1994,390.6
10/11/1994,390.2
10/10/1994,393.4
10/07/1994,393.8
10/06/1994,395.1
10/05/1994,395.2
10/04/1994,395.7
10/03/1994,398.2
09/30/1994,397.6
09/29/1994,398.7
09/28/1994,397.9
09/27/1994,401.4
09/26/1994,397.8
09/23/1994,399.6
09/22/1994,399
09/21/1994,397.8
09/20/1994,397.2
09/19/1994,393.6
09/16/1994,393.6
09/15/1994,391.9
09/14/1994,392.9
09/13/1994,394.5
09/12/1994,394.9
09/09/1994,395.8
09/08/1994,394.6
09/07/1994,394.4
09/06/1994,392.2
09/02/1994,391.4
09/01/1994,391.3
08/31/1994,390.8
08/30/1994,390.8
08/29/1994,391.8
08/26/1994,388
08/25/1994,388.1
08/24/1994,388.6
08/23/1994,386.5
08/22/1994,386.7
08/19/1994,386.9
08/18/1994,385.9
08/17/1994,382.3
08/16/1994,382.9
08/15/1994,382.4
08/12/1994,381.5
08/11/1994,384
08/10/1994,382.6
08/09/1994,383
08/08/1994,382.3
08/05/1994,382.9
08/04/1994,383.1
08/03/1994,383.1
08/02/1994,384.4
08/01/1994,389.4
07/29/1994,389.2
07/28/1994,391.2
07/27/1994,387.7
07/26/1994,387.1
07/25/1994,384.9
07/22/1994,385
07/21/1994,384.3
07/20/1994,385.6
07/19/1994,387.1
07/18/1994,386.2
07/15/1994,386.4
07/14/1994,384.4
07/13/1994,384
07/12/1994,386.3
07/11/1994,388.1
07/08/1994,385.1
07/07/1994,385.7
07/06/1994,384.6
07/05/1994,386.9
07/01/1994,388.1
06/30/1994,387.3
06/29/1994,386.3
06/28/1994,387.9
06/27/1994,386.4
06/24/1994,392.9
06/23/1994,391.5
06/22/1994,391.4
06/21/1994,396.3
06/20/1994,390.9
06/17/1994,393.7
06/16/1994,387.5
06/15/1994,389
06/14/1994,386.4
06/13/1994,385.6
06/10/1994,385.8
06/09/1994,385.3
06/08/1994,384.1
06/07/1994,383.5
06/06/1994,382.9
06/03/1994,383.2
06/02/1994,386.8
06/01/1994,386.3
05/31/1994,390
05/27/1994,384.7
05/26/1994,383.9
05/25/1994,386.8
05/24/1994,387.3
05/23/1994,389.9
05/20/1994,386.3
05/19/1994,381.8
05/18/1994,382.5
05/17/1994,382
05/16/1994,383.7
05/13/1994,381.5
05/12/1994,380.8
05/11/1994,382.7
05/10/1994,379.8
05/09/1994,382.3
05/06/1994,384.5
05/05/1994,374.7
05/04/1994,377.7
05/03/1994,376.8
05/02/1994,377.4
04/29/1994,377.8
04/28/1994,376.8
04/26/1994,375.3
04/25/1994,374.9
04/22/1994,372.1
04/21/1994,374.7
04/20/1994,373.9
04/19/1994,373.2
04/18/1994,378.5
04/15/1994,379.4
04/14/1994,380.3
04/13/1994,380
04/12/1994,380.4
04/11/1994,379.9
04/08/1994,386.3
04/07/1994,386.1
04/06/1994,387.1
04/05/1994,386.7
04/04/1994,388.7
03/31/1994,394.3
03/30/1994,388.6
03/29/1994,386
03/28/1994,388.1
03/25/1994,391.2
03/24/1994,391.9
03/23/1994,387.4
03/22/1994,389.7
03/21/1994,386.3
03/18/1994,387.6
03/17/1994,383
03/16/1994,385.6
03/15/1994,387.6
03/14/1994,387.2
03/11/1994,386.1
03/10/1994,388.2
03/09/1994,380.1
03/08/1994,377.7
03/07/1994,376.9
03/04/1994,378.6
03/03/1994,378.3
03/02/1994,378.9
03/01/1994,379.4
02/28/1994,382.5
02/25/1994,379.8
02/24/1994,377.6
02/23/1994,378.9
02/22/1994,379.2
02/18/1994,381.6
02/17/1994,384.3
02/16/1994,385.3
02/15/1994,385.5
02/14/1994,385.6
02/11/1994,381.7
02/10/1994,383.7
02/09/1994,385.7
02/08/1994,384.1
02/07/1994,380.7
02/04/1994,388.3
02/03/1994,389.1
02/02/1994,386.5
02/01/1994,386.1
01/31/1994,383.6
01/28/1994,379
01/27/1994,377.4
01/26/1994,384.6
01/25/1994,381.6
01/24/1994,381.4
01/21/1994,381.7
01/20/1994,387.9
01/19/1994,392.7
01/18/1994,393.6
01/17/1994,392.2
01/14/1994,390.1
01/13/1994,390.6
01/12/1994,386.9
01/11/1994,388.7
01/10/1994,385.7
01/07/1994,387.2
01/06/1994,390.1
01/05/1994,392.1
01/04/1994,395.1
01/03/1994,394.7
12/30/1993,391.9
12/29/1993,391.8
12/28/1993,388.5
12/27/1993,389.1
12/23/1993,387
12/22/1993,387.2
12/21/1993,389.3
12/20/1993,390.8
12/17/1993,388.9
12/16/1993,387.5
12/15/1993,389
12/14/1993,388.6
12/13/1993,388.6
12/10/1993,384.9
12/09/1993,384.4
12/08/1993,385.7
12/07/1993,379.3
12/06/1993,377.8
12/03/1993,378.6
12/02/1993,375.6
12/01/1993,376.6
11/30/1993,371.9
11/29/1993,371.5
11/24/1993,377.2
11/23/1993,377.3
11/22/1993,378.5
11/19/1993,378.3
11/18/1993,376.7
11/17/1993,377.2
11/16/1993,374.6
11/15/1993,375.7
11/12/1993,373.6
11/11/1993,376.4
11/10/1993,377.4
11/09/1993,376.6
11/08/1993,375.5
11/05/1993,377.8
11/04/1993,372.4
11/03/1993,368
11/02/1993,363.6
11/01/1993,362.1
10/29/1993,369.6
10/28/1993,370.2
10/27/1993,370.7
10/26/1993,370.3
10/25/1993,370.5
10/22/1993,371.3
10/21/1993,372.8
10/20/1993,373.8
10/19/1993,370.3
10/18/1993,369.6
10/15/1993,366.2
10/14/1993,366.6
10/13/1993,367.6
10/12/1993,369.2
10/11/1993,361.7
10/08/1993,361.5
10/07/1993,358.5
10/06/1993,358.2
10/05/1993,354.8
10/04/1993,354.6
10/01/1993,356.9
09/30/1993,357.1
09/29/1993,354.7
09/28/1993,357.3
09/27/1993,355.7
09/24/1993,359.4
09/23/1993,360
09/22/1993,356
09/21/1993,365
09/20/1993,355.5
09/17/1993,352.8
09/16/1993,354.7
09/15/1993,349.6
09/14/1993,346.9
09/13/1993,344.8
09/10/1993,352.4
09/09/1993,356.5
09/08/1993,353.6
09/07/1993,352.5
09/03/1993,367.1
09/02/1993,366.3
09/01/1993,372.6
08/31/1993,375.7
08/30/1993,373.3
08/27/1993,372.1
08/26/1993,370.8
08/25/1993,375.5
08/24/1993,374.9
08/23/1993,375.5
08/20/1993,376.4
08/19/1993,374.4
08/18/1993,377.5
08/17/1993,374.9
08/16/1993,376.4
08/13/1993,372.6
08/12/1993,370.7
08/11/1993,378.7
08/10/1993,384.4
08/09/1993,386.8
08/06/1993,379.9
08/05/1993,380.7
08/04/1993,403.3
08/03/1993,407.6
08/02/1993,410.2
07/30/1993,411.3
07/29/1993,402.2
07/28/1993,393.4
07/27/1993,391.2
07/26/1993,393.1
07/23/1993,390
07/22/1993,391.3
07/21/1993,389.5
07/20/1993,392.2
07/19/1993,392.4
07/16/1993,392.9
07/15/1993,393.9
07/14/1993,391.4
07/13/1993,394.5
07/12/1993,394.9
07/09/1993,392.3
07/08/1993,395.6
07/07/1993,397.8
07/06/1993,393.1
07/02/1993,386.7
07/01/1993,388.2
06/30/1993,379.2
06/29/1993,379.5
06/28/1993,376.1
06/25/1993,378.1
06/24/1993,376.1
06/23/1993,375.5
06/22/1993,369.7
06/21/1993,371.1
06/18/1993,372.5
06/17/1993,372.2
06/16/1993,371.5
06/15/1993,370.8
06/14/1993,366.6
06/11/1993,367.5
06/10/1993,371
06/09/1993,373
06/08/1993,375.6
06/07/1993,375.7
06/04/1993,378.5
06/03/1993,376.2
06/02/1993,370.8
06/01/1993,371.3
05/28/1993,380.3
05/27/1993,381.4
05/26/1993,375.3
05/25/1993,378.7
05/24/1993,374.2
05/21/1993,377.9
05/20/1993,374.7
05/19/1993,374.2
05/18/1993,376
05/17/1993,368
05/14/1993,368.3
05/13/1993,369.3
05/12/1993,361.8
05/11/1993,357.3
05/10/1993,357.2
05/07/1993,357.4
05/06/1993,358.3
05/05/1993,355.5
05/04/1993,355.7
05/03/1993,355.3
04/30/1993,357.2
04/29/1993,357.4
04/28/1993,354.4
04/27/1993,352.1
04/26/1993,353.8
04/23/1993,347.5
04/22/1993,341.2
04/21/1993,340.7
04/20/1993,341.1
04/19/1993,341.5
04/16/1993,340.2
04/15/1993,338.3
04/14/1993,340.8
04/13/1993,338.8
04/12/1993,338.2
04/08/1993,338.9
04/07/1993,339.7
04/06/1993,339.3
04/05/1993,341
04/02/1993,342.3
04/01/1993,340.2
03/31/1993,339.3
03/30/1993,338.8
03/29/1993,332.2
03/26/1993,332.5
03/25/1993,332.8
03/24/1993,332.7
03/23/1993,332.3
03/22/1993,333.3
03/19/1993,332.3
03/18/1993,331.2
03/17/1993,329.7
03/16/1993,329.6
03/15/1993,329.8
03/12/1993,328.5
03/11/1993,327.6
03/10/1993,326.9
03/09/1993,327.2
03/08/1993,327.7
03/05/1993,330.4
03/04/1993,329.6
03/03/1993,329.7
03/02/1993,330.5
03/01/1993,329.3
02/26/1993,329.1
02/25/1993,330.6
02/24/1993,330.4
02/23/1993,331.6
02/22/1993,328.8
02/19/1993,331
02/18/1993,331.5
02/17/1993,331.5
02/16/1993,333.4
02/12/1993,330
02/11/1993,332.7
02/10/1993,333.7
02/09/1993,329.6
02/08/1993,329.1
02/05/1993,328.9
02/04/1993,329.2
02/03/1993,329.5
02/02/1993,330.6
02/01/1993,330.7
01/29/1993,330.7
01/28/1993,331.1
01/27/1993,329.9
01/26/1993,331.1
01/25/1993,328.8
01/22/1993,328.6
01/21/1993,329.3
01/20/1993,329.8
01/19/1993,328.6
01/18/1993,328
01/15/1993,327
01/14/1993,327.3
01/13/1993,327.6
01/12/1993,328.8
01/11/1993,327.8
01/08/1993,329.5
01/07/1993,329
01/06/1993,330.1
01/05/1993,329
01/04/1993,328.4
12/31/1992,333.1
12/30/1992,333.3
12/29/1992,332.8
12/28/1992,333.4
12/24/1992,333.4
12/23/1992,333.4
12/22/1992,332.8
12/21/1992,334.6
12/18/1992,337.7
12/17/1992,339.2
12/16/1992,338.7
12/15/1992,335.3
12/14/1992,335.4
12/11/1992,336
12/10/1992,335
12/09/1992,334.5
12/08/1992,336.3
12/07/1992,337
12/04/1992,336.6
12/03/1992,336.4
12/02/1992,336.9
12/01/1992,336.1
11/30/1992,335.5
11/27/1992,335.5
11/25/1992,333.5
