Date,Close/Last
02/27/2025,53.85
02/26/2025,55.03
02/25/2025,54.87
02/24/2025,54.31
02/21/2025,54.45
02/20/2025,54.8
02/19/2025,54.43
02/18/2025,55.33
02/14/2025,55.03
02/13/2025,54.66
02/12/2025,54.14
02/11/2025,53.46
02/10/2025,52.91
02/07/2025,52.45
02/06/2025,53.01
02/05/2025,52.57
02/04/2025,52.26
02/03/2025,51.16
01/31/2025,52.12
01/30/2025,52.59
01/29/2025,52.04
01/28/2025,51.92
01/27/2025,52.24
01/24/2025,52.16
01/23/2025,52.07
01/22/2025,51.67
01/21/2025,51.56
01/17/2025,50.43
01/16/2025,50.22
01/15/2025,49.46
01/14/2025,48.96
01/13/2025,48.5
01/10/2025,48.69
01/08/2025,49.1
01/07/2025,49.32
01/06/2025,49.17
01/03/2025,47.94
01/02/2025,47.66
12/31/2024,48.15
12/30/2024,48.18
12/27/2024,48.58
12/26/2024,48.78
12/24/2024,48.57
12/23/2024,48.4
12/20/2024,48.28
12/19/2024,48.26
12/18/2024,48.38
12/17/2024,49.64
12/16/2024,49.63
12/13/2024,49.89
12/12/2024,49.58
12/11/2024,49.89
12/10/2024,49.73
12/09/2024,50.17
12/06/2024,50.19
12/05/2024,50.02
12/04/2024,49.39
12/03/2024,49.04
12/02/2024,48.71
11/29/2024,48.57
11/27/2024,47.85
11/26/2024,47.63
11/25/2024,47.95
11/22/2024,47.7
11/21/2024,47.72
11/20/2024,47.82
11/19/2024,48.05
11/18/2024,48.34
11/15/2024,48.18
11/14/2024,48.32
11/13/2024,47.91
11/12/2024,48.16
11/11/2024,49.18
11/08/2024,49.36
11/07/2024,50.28
11/06/2024,49.38
11/05/2024,50.8
11/04/2024,50.34
11/01/2024,50.43
10/31/2024,50.25
10/30/2024,50.61
10/29/2024,51.1
10/28/2024,51.3
10/25/2024,50.78
10/24/2024,50.98
10/23/2024,50.58
10/22/2024,50.9
10/21/2024,51.09
10/18/2024,51.75
10/17/2024,51.06
10/16/2024,50.99
10/15/2024,51.26
10/14/2024,52.63
10/11/2024,52.32
10/10/2024,51.99
10/09/2024,52.12
10/08/2024,51.91
10/07/2024,51.9
10/04/2024,52.12
10/03/2024,51.74
10/02/2024,52.29
10/01/2024,52.41
09/30/2024,53.24
09/27/2024,53.81
09/26/2024,53.81
09/25/2024,52.22
09/24/2024,52.71
09/23/2024,51.94
09/20/2024,52.04
09/19/2024,52.72
09/18/2024,51.49
09/17/2024,51.62
09/16/2024,51.65
09/13/2024,51.36
09/12/2024,51.12
09/11/2024,50.76
09/10/2024,50.22
09/09/2024,50.57
09/06/2024,50.16
09/05/2024,51.11
09/04/2024,51.36
09/03/2024,51.59
08/30/2024,52.53
08/29/2024,52.39
08/28/2024,52.25
08/27/2024,52.44
08/26/2024,52.29
08/23/2024,52.54
08/22/2024,51.69
08/21/2024,52.17
08/20/2024,51.66
08/19/2024,51.67
08/16/2024,51
08/15/2024,50.6
08/14/2024,49.81
08/13/2024,49.46
08/12/2024,48.67
08/09/2024,48.85
08/08/2024,48.76
08/07/2024,47.98
08/06/2024,47.74
08/05/2024,47.72
08/02/2024,48.45
08/01/2024,48.93
07/31/2024,50.31
07/30/2024,49.93
07/29/2024,49.79
07/26/2024,50.45
07/25/2024,49.73
07/24/2024,49.94
07/23/2024,50.71
07/22/2024,51.05
07/19/2024,50.06
07/18/2024,50.54
07/17/2024,50.93
07/16/2024,51.62
07/15/2024,51.65
07/12/2024,52.32
07/11/2024,51.48
07/10/2024,51.35
07/09/2024,50.62
07/08/2024,51.27
07/05/2024,51.57
07/03/2024,51.22
07/02/2024,50.36
07/01/2024,50.59
06/28/2024,50.03
06/27/2024,50.1
06/26/2024,50.09
06/25/2024,50.5
06/24/2024,50.46
06/21/2024,51.07
06/20/2024,51.51
06/18/2024,51.39
06/17/2024,51.23
06/14/2024,50.46
06/13/2024,51.82
06/12/2024,53.01
06/11/2024,52.06
06/10/2024,52.72
06/07/2024,53.06
06/06/2024,53.82
06/05/2024,53.57
06/04/2024,52.7
06/03/2024,53.09
05/31/2024,52.93
05/30/2024,52.66
05/29/2024,52.28
05/28/2024,53.24
05/24/2024,53.2
05/23/2024,52.7
05/22/2024,52.9
05/21/2024,53.39
05/20/2024,53.45
05/17/2024,53.52
05/16/2024,53.37
05/15/2024,53.92
05/14/2024,53.45
05/13/2024,53.11
05/10/2024,53.06
05/09/2024,52.87
05/08/2024,52.36
05/07/2024,52.1
05/06/2024,51.72
05/03/2024,51.22
05/02/2024,50.74
05/01/2024,50.34
04/30/2024,50.5
04/29/2024,51.51
04/26/2024,51.67
04/25/2024,51.12
04/24/2024,51.37
04/23/2024,51.59
04/22/2024,50.67
04/19/2024,50.12
04/18/2024,50.18
04/17/2024,50.21
04/16/2024,50.14
04/15/2024,50.29
04/12/2024,50.26
04/11/2024,51.35
04/10/2024,51.37
04/09/2024,52.01
04/08/2024,52.32
04/05/2024,51.98
04/04/2024,51.9
04/03/2024,52.51
04/02/2024,52.07
04/01/2024,52.67
03/28/2024,52.55
03/27/2024,52.79
03/26/2024,52.36
03/25/2024,52.25
03/22/2024,52.09
03/21/2024,52.36
03/20/2024,52.6
03/19/2024,51.88
03/18/2024,51.75
03/15/2024,52.12
03/14/2024,52.04
03/13/2024,52.45
03/12/2024,52.24
03/11/2024,51.64
03/08/2024,51.75
03/07/2024,52.23
03/06/2024,51.35
03/05/2024,50.73
03/04/2024,51.07
03/01/2024,50.91
02/29/2024,50.71
02/28/2024,50.66
02/27/2024,50.77
02/26/2024,50.53
02/23/2024,50.47
02/22/2024,50.44
02/21/2024,49.65
02/20/2024,49.33
02/16/2024,49.01
02/15/2024,49.12
02/14/2024,48.54
02/13/2024,47.89
02/12/2024,48.85
02/09/2024,48.86
02/08/2024,48.51
02/07/2024,48.34
02/06/2024,48.33
02/05/2024,47.94
02/02/2024,48.12
02/01/2024,48.43
01/31/2024,47.85
01/30/2024,48.36
01/29/2024,48.26
01/26/2024,48.1
01/25/2024,47.67
01/24/2024,47.42
01/23/2024,46.49
01/22/2024,46.58
01/19/2024,46.61
01/18/2024,46.45
01/17/2024,45.8
01/16/2024,46.09
01/12/2024,46.95
01/11/2024,46.89
01/10/2024,46.95
01/09/2024,46.69
01/08/2024,47.21
01/05/2024,46.61
01/04/2024,46.68
01/03/2024,46.47
01/02/2024,47.12
12/29/2023,47.81
12/28/2023,47.76
12/27/2023,48.16
12/26/2023,47.96
12/22/2023,47.61
12/21/2023,47.73
12/20/2023,46.97
12/19/2023,47.7
12/18/2023,47.27
12/15/2023,47.36
12/14/2023,47.84
12/13/2023,47.65
12/12/2023,47.03
12/11/2023,46.88
12/08/2023,46.72
12/07/2023,46.35
12/06/2023,46.09
12/05/2023,46.07
12/04/2023,45.94
12/01/2023,46.05
11/30/2023,45.73
11/29/2023,45.9
11/28/2023,45.64
